application_deadlines,application_fee,campus_facilities,career_outcomes,city,confidence_score,cost_of_living_estimate,country,data_completeness,degree_level,degree_type,duration_years,faculty_research_interests,gpa_requirement_min,language_requirements,last_updated,prerequisites,program_category,program_description,program_name,rankings,research_opportunities,scholarships_available,source_url,specializations,student_reviews_rating,tuition_fees,university_id,university_name
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],[],Leuven,0.6,,Belgium,0.5,Masters,Master of Science,,"[""Educational studies"", ""Psychology and educational sciences"", ""Teacher education"", ""Educational policy"", ""School effectiveness"", ""Inclusive education"", ""Educational technology""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.014000,[],Education,"The Master's thesis is a research study in which students demonstrate their ability to compile a state-of-the-art literature review on a research topic in a particular discipline, to apply the discipline-specific research method and to formulate relevant and research-based conclusions. In completing the Master's thesis, students demonstrate their ability to analyse a scientific problem independently, to approach it in a critical-scientific manner, and to outline possible solutions. The topic of the Master's thesis should be related to one of the degree programmes the Faculty of Psychology and Educational Sciences offers. Students can write a Master's thesis on topics in the fields covered by general courses and in the various majors. The Master's thesis is not linked to the programme or the major, but is faculty wide. The Master's thesis topic is allocated to the student via a lottery procedure (students can indicate their preferences). In some exceptional cases, the student can propose their own topic, but then the master's thesis should sufficiently differ from the topics in the faculty list in terms of content and the student has to find a supervisor. A Master's thesis can consist of a comprehensive empirical research process or it can be a completion of only one or a few phases of the research cycle (e.g., a literature review). The research can be both fundamental and practice-oriented.",Master of Educational Studies,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.kuleuven.be/programmes/master-educational-studies/masters-thesis-educational-studies,[],,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",b9e10e54d776,KU Leuven
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Biotechnologist"", ""Biochemical analyst"", ""Biocatalysis expert"", ""Brewing technology engineer"", ""Forensic researcher"", ""Nutrition engineer"", ""Pharmaceutical engineer"", ""Quality assurance engineer""]",Leuven,0.975,,Belgium,0.875,Masters,Master of Engineering,1.0,"[""Biotechnological developments in medical sector"", ""Artificial organs"", ""Tissue engineering"", ""Biomaterials"", ""Bioelectronics"", ""New diagnostic techniques"", ""Microbiological and molecular (DNA-based) techniques"", ""Bio-ethanol production"", ""Malt production"", ""Food production and processing"", ""Water treatment"", ""Biocontrol for plant diseases""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.015000,"[""Previous degree from recognized institution"", ""Specific admission requirements (diploma requirements, language requirements and possible additional requirements)""]",Engineering,"This master's programme provides in-depth, interdisciplinary training in biochemical engineering as practiced in various contexts and sectors. Particular areas of focus include food science, biomedical sciences, pharmaceutical sciences, and environmental sciences. The programme focuses on the application of biomedical processes in a wide range of sectors such as biotechnology, food, environment and pharmaceutics. Students become familiar with techniques for monitoring biological processes including recombinant DNA-techniques, immunological, molecular and micro-biological detection and identification techniques, and chemical analysis techniques. The curriculum includes fundamental (bio)chemical and scientific coursework, assignments in socio-economics and biotechnology, with courses covering company management, economics, engineering, separation techniques, fermentation technology, molecular biology techniques, industrial biochemistry and microbiology, environmental technology, and bioreactor design. A flexible cross-campus elective package and a master's thesis conducted in either research or industrial contexts allow students to focus their studies according to specific interests and career goals.",Master of Biochemical Engineering Technology,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.kuleuven.be/programmes/master-biochemical-engineering-technology/index.html,"[""Biomedical Engineering"", ""Genetic and Bioprocess Engineering""]",,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",b9e10e54d776,KU Leuven
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Process or quality engineers"", ""Consultants"", ""Product developers"", ""Researchers in R&D divisions"", ""Research positions in universities and research institutes"", ""Positions in specialized SMEs or startups"", ""International companies"", ""PhD programmes""]",Bruges,0.85,,Belgium,0.75,Masters,Master of Science,1.0,[],,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.016000,"[""Engineering degree"", ""Master's degree with sufficient background in mathematics"", ""Background in physics and mathematics""]",Computer Science,"This advanced master's programme aims to give engineers and technically trained professionals the necessary skills to develop innovative applications with AI. The programme focuses on applications and engineering skills within an interdisciplinary programme with a strong academic foundation. It consists of 4 thematic pillars: AI Foundations, AI & Industry, AI & Business and AI & Society. The master's thesis with optional internship completes the programme. The programme is fully taught in English and consists of 60 ECTS credits.",Master of Artificial Intelligence in Business and Industry,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.kuleuven.be/programmes/master-artificial-intelligence-business-industry/index.html,"[""AI Foundations"", ""AI & Industry"", ""AI & Business"", ""AI & Society""]",,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",b9e10e54d776,KU Leuven
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Large contracting companies"", ""Specialised engineering consultants"", ""Manufacturers of construction products and systems"", ""Infrastructure companies"", ""Architectural offices"", ""Specialised governmental agencies"", ""Research institutions"", ""Finance sector"", ""Insurance sector"", ""Business management""]",Leuven,0.975,,Belgium,0.875,Masters,Master of Engineering,2.0,"[""Structural dynamics and acoustics"", ""Nonlinear structural analysis"", ""Structural durability and renovation"", ""Fluid flow analysis"", ""Hydrology"", ""Sediment mechanics"", ""Coastal and offshore structures"", ""Dredging technology"", ""Sustainable construction"", ""Circular buildings"", ""Smart infrastructure""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.017000,"[""Solid background in physics and mathematics"", ""Basics of civil engineering including strength of materials"", ""Structural mechanics"", ""Building physics"", ""Design of structural members in concrete, steel and timber""]",Engineering,"The Master of Civil Engineering programme trains you to become an expert in the science and technology of construction and prepares you to take a leading role in the sustainable development of our built environment. It provides broad foundational knowledge necessary to realize structures that are safe, durable, energy efficient, cost efficient, healthy and comfortable, and with all necessary skills to tackle complex scientific and technological problems in the construction sector.",Master of Civil Engineering,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.kuleuven.be/programmes/master-civil-engineering/index.html,"[""Structural Engineering"", ""Hydraulic Engineering""]",,"{""domestic_per_year"": null, ""international_per_year"": null, ""currency"": ""USD"", ""additional_fees"": null}",b9e10e54d776,KU Leuven
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""International organizations (FAO, World Bank)"", ""Ministries and authorities at EU, national or international level"", ""Private companies in agricultural and food industry"", ""Consulting firms"", ""Associations"", ""NGOs"", ""Scientific research careers""]",Freising,1.0,,Germany,0.875,Masters,Master of Science,2.0,"[""Agricultural economics"", ""Food policy"", ""Environmental regulation"", ""Sustainable agriculture"", ""International agricultural markets"", ""Climate change impacts on agriculture""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.018000,"[""Bachelor's degree of at least six semesters or equivalent in agricultural and horticultural sciences"", ""Political science"", ""Economics and business administration"", ""Or comparable course of study""]",Business,"This program trains experts to solve key challenges in the agri-food sector by combining agricultural knowledge in technology and ecology with skills in economics and political science. Graduates gain profound systems knowledge to understand complex challenges and identify policy measures and incentives that can contribute to solutions for sustainable food production, economic interests, and food security for a growing world population.","AgriFood Economics, Policy and Regulation","{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/agrifood-economics-policy-and-regulation,"[""Economics"", ""Politics"", ""Technology"", ""Ecology"", ""Climate sciences""]",,"{""domestic_per_year"": null, ""international_per_year"": 8000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Research (university, departmental research in companies)"", ""Management tasks/leadership roles in agricultural industries and agribusiness"", ""Plant and animal breeding"", ""Consulting of agricultural and agribusiness firms"", ""Financial services"", ""Marketing"", ""Management tasks/leadership roles in agricultural administration/ministries"", ""Environmental management/sustainability management"", ""International organizations""]",Freising,1.0,,Germany,0.875,Masters,Master of Science,2.0,"[""Agricultural production systems"", ""Nutrient cycles in agricultural production systems"", ""Agroecosystems"", ""Agricultural economics"", ""Statistical methods"", ""Geo-information systems"", ""Breeding and biotechnological development of cultivated plants"", ""Primary production of foods from animal sources"", ""Biological, ecological, and technical analysis of agricultural ecosystems""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.019000,"[""Recognized undergraduate degree (e.g. Bachelor's)"", ""Successful completion of aptitude assessment procedure"", ""Sufficient German language proficiency"", ""Degree certificate and diploma"", ""Subject and grade transcript of studies to date"", ""Statement of purpose (Letter of Motivation)"", ""Complete and current résumé"", ""Passport"", ""Preliminary Documentation (VPD) by uni-assist for international applicants""]",Other,"The master's program Agrosystem Sciences deals with systems of agricultural production, their biological, technical, and economic drivers and their integration within agro-ecosystems. This research-oriented program allows students to develop an individual profile of knowledge and competencies. The program prepares graduates to solve future challenges in food production, renewable resources, environment and climate, qualifying agricultural scientists who understand scientific, societal, and global challenges on the path to sustainable agriculture.",Master of Science in Agrosystem Sciences,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/agrosystem-sciences-master-of-science-msc,"[""Systems of plant production"", ""Livestock production"", ""Agro-ecosystems"", ""Agricultural economics"", ""Interdisciplinary subjects""]",,"{""domestic_per_year"": null, ""international_per_year"": 8000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Tech industry roles"", ""Positions of responsibility in public administration"", ""Scientific research positions"", ""Roles bridging technical AI and societal implications""]",Munich,1.0,,Germany,0.875,Masters,Master of Science,2.0,"[""AI technologies and applications"", ""Algorithm traceability and interpretability"", ""Data protection and security"", ""Fair access to AI technologies"", ""Legal, ethical, and political implications of AI"", ""AI governance and regulation""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.020000,"[""Recognized undergraduate degree (e.g. Bachelor's)"", ""Successful completion of aptitude assessment procedure"", ""Proof of English language proficiency"", ""Degree certificate and diploma"", ""Transcript of records"", ""Complete and current résumé (in English)"", ""Letter of motivation (optional)"", ""List of best credits"", ""Passport"", ""Preliminary documentation (VPD) for qualifications obtained outside Germany""]",Computer Science,"The Master's degree program AI in Society deals with social problems in the context of AI from an interdisciplinary perspective and develops holistic approaches to solve them. The program is equally research- and application-oriented, providing a deep understanding of AI technologies and their use from medical diagnostics to autonomous vehicles. Students work with neural networks, machine learning, deep learning, generative AI, and natural language processing. The focus is on questions relating to the traceability and interpretability of algorithms, avoidance of biases, ensuring data protection and security, fair access to AI technologies, and their beneficial application in business and society.",AI in Society,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/ai-in-society,"[""Deep learning"", ""Human-AI interaction"", ""Natural language processing"", ""AI governance and regulation"", ""AI in diverse societies"", ""Societal application areas of AI""]",,"{""domestic_per_year"": null, ""international_per_year"": 8000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Architectural offices (regional and global)"", ""Product and materials development"", ""Architectural technology"", ""Business consulting"", ""Public and private administrations"", ""Building industry positions"", ""Entrepreneurship in architecture""]",Munich,1.0,,Germany,0.875,Undergraduate,Bachelor of Arts,4.0,"[""Energy efficiency and life cycle of buildings"", ""Development and design of building elements and systems"", ""Sustainability in social realm"", ""Urban and regional planning"", ""Climatology"", ""Mobility"", ""Energy life cycles""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.021000,"[""Higher Education Entrance Qualification"", ""Proof of German Language Proficiency"", ""Complete and Current Résumé"", ""Passport"", ""Preliminary Documentation (VPD) by uni-assist for international applicants""]",Computer Science,The bachelor's degree program in Architecture provides a sound foundation in the knowledge and techniques required for the fields in which modern architects work today. The study program is project-oriented and takes the form of research-oriented lessons. The program aims to provide students with comprehensive university education that communicates fundamental business skills while instilling a sense of responsibility towards the built environment. Students are educated in holistic approaches to dealing with complex systems from theoretical concepts to technical and spatial components.,Architecture,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/architecture-bachelor-of-arts-ba,"[""Architectural Design"", ""Integrated Building Technologies"", ""Urban and Landscape Transformation"", ""Cultural Heritage, History and Criticism""]",,"{""domestic_per_year"": 170, ""international_per_year"": 4000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Architectural offices (regional and global)"", ""Product and materials development"", ""Architectural technology"", ""Business consulting"", ""Public and private administrations"", ""Building industry positions""]",Munich,0.95,,Germany,0.75,Masters,Master of Arts,2.0,[],,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.021000,"[""Recognized undergraduate degree (e.g., Bachelor's degree)"", ""Successful completion of aptitude assessment procedure"", ""German language proficiency"", ""Degree certificate and diploma"", ""Transcript of records"", ""Statement of purpose (Letter of Motivation)"", ""Portfolio of work"", ""Complete and current résumé"", ""Passport"", ""Preliminary Documentation (VPD) for qualifications obtained outside Germany""]",Computer Science,"The Master's degree program in Architecture expands the knowledge acquired in the Bachelor's degree and enables students to focus on individual areas of interest. The program is geared towards students' increased concentration on individual areas through lectures, project work, and self-study. The fundamental objective is to enable students to assume responsibility with regard to society and the built environment through comprehensive university education. Graduates will be ready to take up senior management positions in the planning process and operate successfully and entrepreneurially.",Architecture,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/architecture-master-of-arts-ma,"[""Integrated Building Technology"", ""Cultural Heritage, History and Criticism"", ""Urban Landscape and Transformation""]",,"{""domestic_per_year"": null, ""international_per_year"": 8000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""All areas of the automotive and motor vehicle sectors"", ""Related manufacturers and suppliers"", ""Automotive design and development"", ""Vehicle component design and dimensioning"", ""Systems analysis and evaluation""]",Munich,1.0,,Germany,0.875,Masters,Master of Science,2.0,"[""Automotive engineering"", ""Electrical engineering"", ""Informatics"", ""Vehicle systems"", ""Driver assistance systems"", ""Electrified vehicles"", ""Production and materials""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.022000,"[""Recognized undergraduate degree (e.g. Bachelor's)"", ""Successful completion of aptitude assessment procedure"", ""Degree certificate and diploma"", ""Transcript of records"", ""Curriculum (module description)"", ""Complete resume"", ""Passport"", ""Proof of German or English language proficiency"", ""Preliminary documentation (VPD) for international qualifications""]",Engineering,"The automotive industry is of the utmost importance both nationally and internationally. The industry and its products are changing rapidly. Students in this program learn to analyze and shape these changes and to develop technologically innovative solutions for the mobility of the future. In the interdisciplinary Master Degree Course Automotive Engineering, students are prepared for a career in the changing automotive and commercial vehicle industry. Motivated by political, ecological and economic conditions, more electrified vehicles with complex driver assistance systems will be developed and produced. Students gain expertise in classic automotive engineering as well as electrical engineering and informatics.",Master of Science Automotive Engineering,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/automotive-engineering-master-of-science-msc,"[""Motor vehicles"", ""Power units"", ""Electronics and assistance systems"", ""Production and materials"", ""Methodology and engineering science""]",,"{""domestic_per_year"": null, ""international_per_year"": 12000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Pharmaceutical firms"", ""Biotechnology companies"", ""Nutrition industry"", ""Administrative and organizational roles"", ""Health care"", ""Media""]",Munich,0.825,,Germany,0.625,Undergraduate,Bachelor of Science,3.0,[],,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.023000,"[""Higher Education Entrance Qualification"", ""Proof of German Language Proficiency"", ""Statement of purpose (Letter of Motivation)"", ""Complete and Current Résumé"", ""Passport"", ""Proof of Internships or Professional Experience (optional)"", ""Preliminary Documentation (VPD) by uni-assist for international applicants""]",Other,"The bachelor's program in Biochemistry links chemistry and biology as well as traversing the interface between chemistry, biology, and medicine. As the 'chemistry of life', biochemistry provides the link between biology and chemistry. Biochemists analyze the organization of cells and organisms at a molecular level, analyzing biochemical reaction mechanisms such as intracellular transport of substances, cellular differentiation, signaling cascades, cellular stress responses, and molecular causes of illnesses using methods from chemistry, molecular biology, and physics.",Biochemistry,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/biochemistry-bachelor-of-science-bsc,[],,"{""domestic_per_year"": null, ""international_per_year"": 6000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Pharmaceutical firms"", ""Biotechnology companies"", ""Nutrition industry"", ""Administrative and organizational roles"", ""Health care"", ""Media"", ""Research institutions""]",Garching,1.0,,Germany,0.875,Masters,Master of Science,2.0,"[""Molecular biology"", ""Cellular organization"", ""Biochemical reaction mechanisms"", ""Intracellular transport"", ""Cellular differentiation"", ""Signaling cascades"", ""Cellular stress responses"", ""Molecular causes of illnesses"", ""Bioinformatics""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.024000,"[""Recognized undergraduate degree (e.g. bachelor's)"", ""Successful completion of aptitude assessment procedure"", ""Proof of German language proficiency"", ""Degree certificate and diploma"", ""Transcript of records"", ""Statement of purpose (Letter of Motivation)"", ""Complete and current résumé"", ""Passport"", ""Preliminary Documentation (VPD) for qualifications obtained outside Germany""]",Other,"The master's program in Biochemistry links chemistry and biology as well as facilitating individual specialization on the interface between chemistry, biology, and medicine. As the 'chemistry of life', biochemistry provides the link between biology and chemistry. Biochemists analyze the organization of cells and organisms at a molecular level, analyzing biochemical reaction mechanisms such as intracellular transport of substances, cellular differentiation, signaling cascades, cellular stress responses, and molecular causes of illnesses. Students choose two minors: one in chemistry and one in biology, creating an individual discipline-specific competency profile.",Biochemistry - Master of Science,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/biochemistry-master-of-science-msc,"[""Chemistry minor"", ""Biology minor""]",,"{""domestic_per_year"": null, ""international_per_year"": 12000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Public administration"", ""Research institutions"", ""Industry positions"", ""Consulting firms"", ""Energy and chemical industries dealing with production, use and economy of biogenic resources""]",Straubing,1.0,,Germany,0.875,Undergraduate,Bachelor of Science,3.0,"[""Sustainable bio-based economy"", ""Transition from fossil to biogenic raw materials"", ""Environmental and resource economics"", ""Bio-based innovations"", ""Circular economy processes""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.025000,"[""Higher Education Entrance Qualification"", ""Proof of German Language Proficiency"", ""Complete and Current Résumé"", ""Passport"", ""Preliminary Documentation (VPD) by uni-assist for international applicants""]",Business,"The bachelor's degree program in Bioeconomy at the TUM Campus Straubing for Biotechnology and Sustainability incorporates various scientific disciplines where natural sciences work closely with economic sciences across disciplinary boundaries. Students gain understanding of economics and environmental economics, enabling them to work with biological, chemical and technical principles and methods, and develop local and global cyclic processes. The program combines chemistry, engineering and life sciences with micro- and macroeconomics to provide comprehensive knowledge in efficient and sustainable use of biogenic resources.",Bioeconomy - Bachelor of Science,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/bioeconomics-bachelor-of-science-bsc,"[""Seminar in Behavioral Economics"", ""Biochemistry"", ""Fundamentals of Material Biomass Utilization"", ""Biopolymers"", ""Introduction to Development Economics"", ""Energy and Economics"", ""Seminar in Innovation and Technology Management"", ""Concepts of Physics and Chemistry in Nature"", ""Environmental Resources in a Changing World"", ""Corporate Strategy"", ""Supply Chain"", ""Project Studies""]",,"{""domestic_per_year"": 0, ""international_per_year"": 4000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Various industries"", ""Public administration"", ""International organizations"", ""Scientific education through Master's degree programs""]",Straubing,1.0,,Germany,0.875,Undergraduate,Bachelor of Science,3.0,"[""Biotechnology"", ""Energy Technology"", ""Process Technology"", ""Sustainable Resource Management"", ""Environmental Economics"", ""Circular Economy""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.025000,"[""Higher Education Entrance Qualification"", ""Complete and Current Résumé"", ""Passport"", ""Preliminary Documentation (VPD) by uni-assist for international applicants"", ""Proof of participation in Aptitude Recommendation procedure""]",Other,"In light of the climate crisis, scarcity of raw materials, and changing consumer behavior, the shift towards climate-neutral and sustainable resource and technology management is imperative. Students of the English-taught Bachelor's degree program in Bioeconomy learn all the basics needed to organize and shape the social and economic transformation towards sustainability. The degree program has a clear inter- and transdisciplinary focus and examines technology, ecology, society, economy, and their interactions. Students acquire sound economic expertise as well as basic knowledge of Business Administration, Mathematics, Statistics, Bioinformatics, Physics, Organic Chemistry and Biology. They develop specific skills to evaluate sustainable cross-sectional technologies such as biotechnology, energy technology and process technology, to analyze their economic and business potential and to design corresponding value creation systems and governance structures.",Bioeconomy - Bachelor of Science,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/bioeconomy-bachelor-of-science-bsc,"[""Elective Foundations of Management"", ""Technical Elective Modules"", ""General Elective Modules""]",,"{""domestic_per_year"": null, ""international_per_year"": 4000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
"{""fall_deadline"": null, ""spring_deadline"": null, ""summer_deadline"": null, ""rolling_admission"": false}",,[],"[""Scientific work within doctoral thesis framework"", ""Responsible positions in companies pursuing business models based on biogenic resources"", ""Public administration"", ""National and international organizations"", ""Sustainability transformation experts""]",Straubing,1.0,,Germany,0.875,Masters,Master of Science,2.0,"[""Environmental economics"", ""Behavioral economics"", ""Innovation economics"", ""Sustainability sciences"", ""Renewable materials"", ""Biotechnology"", ""Energy systems"", ""Simulation and optimization""]",,"{""toefl_min"": null, ""ielts_min"": null, ""pte_min"": null, ""duolingo_min"": null, ""gre_required"": null}",2025-11-27T10:10:07.026000,"[""Recognized undergraduate degree (e.g. Bachelor's)"", ""Successful completion of aptitude assessment procedure"", ""Proof of English language proficiency"", ""Degree certificate and diploma"", ""Transcript of records"", ""Essay"", ""Complete and current résumé"", ""Passport"", ""Preliminary documentation (VPD) for qualifications obtained outside Germany""]",Other,"In view of the climate crisis, scarcity of raw materials, and changing consumer behavior, the shift towards climate-neutral and sustainable resource and technology management is inevitable. Students of the English-taught Master's degree program in Bioeconomy learn how to shape social and macroeconomic transformation processes and implement them economically, ecologically, and socially sustainably. The degree program is highly interdisciplinary, teaching profound understanding of economic processes in addition to biological, chemical-material, and technical principles and methods, with focus on environmental, behavioral, and innovation economics. Students acquire sound skills in economics, sustainability sciences, engineering, and natural sciences and deal with advanced quantitative methods of empirical research, modeling, simulation, and optimization.",Bioeconomy,"{""qs_world_ranking"": null, ""the_world_ranking"": null, ""us_news_ranking"": null, ""subject_ranking_cs"": null}",[],[],https://www.tum.de/en/studies/degree-programs/detail/bioeconomy-master-of-science-msc,"[""Major in Social Sciences and Sustainability"", ""Major in Natural Sciences and Engineering""]",,"{""domestic_per_year"": null, ""international_per_year"": 8000, ""currency"": ""USD"", ""additional_fees"": null}",9e550f3fda50,Technical University of Munich
